,Timestep,FCC,BCC,HCP,ICO,OTHER,Frame,SourceFrame,alloy,Comp,Thold,Job,Run Crystallized
0,70702,19,9,81,7,19536,106,106,Al-Ag,0.06,667,job1,False
1,70702,39,20,92,7,19494,106,106,Al-Ag,0.06,667,job2,False
2,70702,31,15,124,10,19472,106,106,Al-Ag,0.06,667,job3,False
3,70702,21,15,90,13,19513,106,106,Al-Ag,0.06,667,job6,False
4,70702,24,14,91,12,19511,106,106,Al-Ag,0.06,667,job8,False
5,70702,25,20,91,8,19508,106,106,Al-Ag,0.06,667,job7,False
6,70702,33,18,122,14,19465,106,106,Al-Ag,0.06,667,job5,False
7,70702,34,19,86,14,19499,106,106,Al-Ag,0.06,667,job9,False
8,70702,25,15,122,9,19481,106,106,Al-Ag,0.06,667,job4,False
9,70702,33,14,76,7,19522,106,106,Al-Ag,0.06,667,job10,False
10,87000,45,17,151,6,19433,87,87,Al-Ag,0.06,1000,job1,False
11,87000,39,31,124,7,19451,87,87,Al-Ag,0.06,1000,job2,False
12,87000,52,23,173,8,19396,87,87,Al-Ag,0.06,1000,job3,False
13,87000,34,27,119,9,19463,87,87,Al-Ag,0.06,1000,job6,False
14,87000,46,19,156,9,19422,87,87,Al-Ag,0.06,1000,job8,False
15,87000,55,21,151,15,19410,87,87,Al-Ag,0.06,1000,job7,False
16,87000,59,21,165,14,19393,87,87,Al-Ag,0.06,1000,job5,False
17,87000,34,15,148,7,19448,87,87,Al-Ag,0.06,1000,job9,False
18,87000,43,21,155,18,19415,87,87,Al-Ag,0.06,1000,job4,False
19,87000,46,15,154,12,19425,87,87,Al-Ag,0.06,1000,job10,False
20,275000,156,56,381,7,19052,55,55,Al-Ag,0.06,5000,job1,False
21,275000,180,50,406,2,19014,55,55,Al-Ag,0.06,5000,job2,False
22,275000,162,29,433,3,19025,55,55,Al-Ag,0.06,5000,job3,False
23,275000,265,60,583,3,18741,55,55,Al-Ag,0.06,5000,job6,False
24,275000,240,91,493,10,18818,55,55,Al-Ag,0.06,5000,job8,False
25,275000,167,39,366,5,19075,55,55,Al-Ag,0.06,5000,job7,False
26,275000,195,65,430,7,18955,55,55,Al-Ag,0.06,5000,job5,False
27,275000,254,57,476,11,18854,55,55,Al-Ag,0.06,5000,job9,False
28,275000,173,67,480,5,18927,55,55,Al-Ag,0.06,5000,job4,False
29,275000,120,61,388,12,19071,55,55,Al-Ag,0.06,5000,job10,False
30,134000,107,40,236,2,19267,67,67,Al-Ag,0.06,2000,job1,False
31,134000,71,28,241,9,19303,67,67,Al-Ag,0.06,2000,job2,False
32,134000,105,40,284,10,19213,67,67,Al-Ag,0.06,2000,job3,False
33,134000,80,23,221,8,19320,67,67,Al-Ag,0.06,2000,job6,False
34,134000,91,32,256,12,19261,67,67,Al-Ag,0.06,2000,job8,False
35,134000,87,28,206,11,19320,67,67,Al-Ag,0.06,2000,job7,False
36,134000,59,30,206,12,19345,67,67,Al-Ag,0.06,2000,job5,False
37,134000,84,37,230,9,19292,67,67,Al-Ag,0.06,2000,job9,False
38,134000,67,27,233,11,19314,67,67,Al-Ag,0.06,2000,job4,False
39,134000,100,39,243,7,19263,67,67,Al-Ag,0.06,2000,job10,False
40,346684,174,53,436,9,18980,52,52,Al-Ag,0.06,6667,job1,False
41,346684,251,79,445,5,18872,52,52,Al-Ag,0.06,6667,job2,False
42,346684,245,76,477,6,18848,52,52,Al-Ag,0.06,6667,job3,False
43,346684,197,54,429,15,18957,52,52,Al-Ag,0.06,6667,job6,False
44,346684,327,87,598,11,18629,52,52,Al-Ag,0.06,6667,job8,False
45,346684,184,53,432,10,18973,52,52,Al-Ag,0.06,6667,job7,False
46,346684,269,78,618,7,18680,52,52,Al-Ag,0.06,6667,job5,False
47,346684,221,79,507,5,18840,52,52,Al-Ag,0.06,6667,job9,False
48,346684,240,79,471,10,18852,52,52,Al-Ag,0.06,6667,job4,False
49,346684,217,78,489,11,18857,52,52,Al-Ag,0.06,6667,job10,False
50,510000,477,143,781,7,18244,51,51,Al-Ag,0.06,10000,job1,False
51,510000,377,129,663,8,18475,51,51,Al-Ag,0.06,10000,job2,False
52,510000,361,114,674,6,18497,51,51,Al-Ag,0.06,10000,job3,False
53,510000,283,121,689,1,18558,51,51,Al-Ag,0.06,10000,job6,False
54,510000,415,90,707,7,18433,51,51,Al-Ag,0.06,10000,job8,False
55,510000,562,114,836,8,18132,51,51,Al-Ag,0.06,10000,job7,False
56,510000,399,95,772,7,18379,51,51,Al-Ag,0.06,10000,job5,False
57,510000,439,113,722,10,18368,51,51,Al-Ag,0.06,10000,job9,False
58,510000,532,157,872,7,18084,51,51,Al-Ag,0.06,10000,job4,False
59,510000,370,113,672,2,18495,51,51,Al-Ag,0.06,10000,job10,False
60,980000,705,189,1212,4,17542,49,49,Al-Ag,0.06,20000,job1,True
61,980000,2965,315,2955,2,13415,49,49,Al-Ag,0.06,20000,job2,True
62,980000,1470,308,1721,3,16150,49,49,Al-Ag,0.06,20000,job3,True
63,980000,864,172,1381,4,17231,49,49,Al-Ag,0.06,20000,job6,True
64,980000,744,184,1105,7,17612,49,49,Al-Ag,0.06,20000,job8,True
65,980000,1236,276,1414,7,16719,49,49,Al-Ag,0.06,20000,job7,True
66,980000,1014,255,1467,5,16911,49,49,Al-Ag,0.06,20000,job5,True
67,980000,954,232,1588,6,16872,49,49,Al-Ag,0.06,20000,job9,True
68,980000,757,188,1227,5,17475,49,49,Al-Ag,0.06,20000,job4,True
69,980000,1574,281,2055,0,15742,49,49,Al-Ag,0.06,20000,job10,True
70,70702,33,8,96,5,19510,106,106,Al-Ag,0.10,667,job1,False
71,70702,26,14,57,13,19542,106,106,Al-Ag,0.10,667,job2,False
72,70702,20,12,78,7,19535,106,106,Al-Ag,0.10,667,job3,False
73,70702,30,17,81,11,19513,106,106,Al-Ag,0.10,667,job6,False
74,70702,20,8,73,6,19545,106,106,Al-Ag,0.10,667,job8,False
75,70702,15,13,87,9,19528,106,106,Al-Ag,0.10,667,job7,False
76,70702,22,17,79,9,19525,106,106,Al-Ag,0.10,667,job5,False
77,70702,14,10,74,4,19550,106,106,Al-Ag,0.10,667,job9,False
78,70702,23,14,80,8,19527,106,106,Al-Ag,0.10,667,job4,False
79,70702,19,9,71,5,19548,106,106,Al-Ag,0.10,667,job10,False
80,87000,35,14,148,18,19437,87,87,Al-Ag,0.10,1000,job1,False
81,87000,35,16,158,13,19430,87,87,Al-Ag,0.10,1000,job2,False
82,87000,55,20,120,16,19441,87,87,Al-Ag,0.10,1000,job3,False
83,87000,47,23,158,16,19408,87,87,Al-Ag,0.10,1000,job6,False
84,87000,44,25,141,10,19432,87,87,Al-Ag,0.10,1000,job8,False
