System,Composition [decimal],Steps [-],Job,Crystallization
Zr-Al,Al1.00,2000,job9,False
Zr-Al,Al1.00,2000,job8,False
Zr-Al,Al1.00,2000,job7,False
Zr-Al,Al1.00,2000,job10,False
Zr-Al,Al1.00,2000,job2,False
Zr-Al,Al1.00,2000,job3,False
Zr-Al,Al1.00,2000,job4,False
Zr-Al,Al1.00,2000,job5,False
Zr-Al,Al1.00,2000,job6,False
Zr-Al,Al1.00,2000,job1,False
Zr-Al,Al1.00,5000,job8,False
Zr-Al,Al1.00,5000,job9,False
Zr-Al,Al1.00,5000,job7,False
Zr-Al,Al1.00,5000,job10,False
Zr-Al,Al1.00,5000,job3,False
Zr-Al,Al1.00,5000,job4,False
Zr-Al,Al1.00,5000,job5,False
Zr-Al,Al1.00,5000,job6,False
Zr-Al,Al1.00,5000,job1,False
Zr-Al,Al1.00,5000,job2,False
Zr-Al,Al1.00,6667,job8,False
Zr-Al,Al1.00,6667,job9,False
Zr-Al,Al1.00,6667,job7,False
Zr-Al,Al1.00,6667,job10,False
Zr-Al,Al1.00,6667,job2,False
Zr-Al,Al1.00,6667,job3,False
Zr-Al,Al1.00,6667,job4,False
Zr-Al,Al1.00,6667,job5,False
Zr-Al,Al1.00,6667,job6,False
Zr-Al,Al1.00,6667,job1,False
Zr-Al,Al1.00,10000,job1,False
Zr-Al,Al1.00,10000,job2,False
Zr-Al,Al1.00,10000,job3,False
Zr-Al,Al1.00,10000,job6,False
Zr-Al,Al1.00,10000,job8,True
Zr-Al,Al1.00,10000,job7,False
Zr-Al,Al1.00,10000,job5,True
Zr-Al,Al1.00,10000,job9,False
Zr-Al,Al1.00,10000,job4,True
Zr-Al,Al1.00,10000,job10,False
Zr-Al,Al1.00,20000,job1,True
Zr-Al,Al1.00,20000,job2,True
Zr-Al,Al1.00,20000,job3,True
Zr-Al,Al1.00,20000,job6,True
Zr-Al,Al1.00,20000,job8,True
Zr-Al,Al1.00,20000,job7,True
Zr-Al,Al1.00,20000,job5,True
Zr-Al,Al1.00,20000,job9,True
Zr-Al,Al1.00,20000,job4,True
Zr-Al,Al1.00,20000,job10,True
Zr-Al,Al1.00,1000,job1,False
Zr-Al,Al1.00,1000,job2,False
Zr-Al,Al1.00,1000,job3,False
Zr-Al,Al1.00,1000,job6,False
Zr-Al,Al1.00,1000,job8,False
Zr-Al,Al1.00,1000,job7,False
Zr-Al,Al1.00,1000,job5,False
Zr-Al,Al1.00,1000,job9,False
Zr-Al,Al1.00,1000,job4,False
Zr-Al,Al1.00,1000,job10,False
Zr-Al,Al1.00,667,job1,False
Zr-Al,Al1.00,667,job2,False
Zr-Al,Al1.00,667,job3,False
Zr-Al,Al1.00,667,job6,False
Zr-Al,Al1.00,667,job8,False
Zr-Al,Al1.00,667,job7,False
Zr-Al,Al1.00,667,job5,False
Zr-Al,Al1.00,667,job9,False
Zr-Al,Al1.00,667,job4,False
Zr-Al,Al1.00,667,job10,False
Zr-Al,Al0.99,5000,job8,False
Zr-Al,Al0.99,5000,job9,False
Zr-Al,Al0.99,5000,job7,False
Zr-Al,Al0.99,5000,job2,False
Zr-Al,Al0.99,5000,job3,False
Zr-Al,Al0.99,5000,job4,False
Zr-Al,Al0.99,5000,job5,False
Zr-Al,Al0.99,5000,job6,False
Zr-Al,Al0.99,5000,job10,False
Zr-Al,Al0.99,5000,job1,False
Zr-Al,Al0.99,6667,job7,False
Zr-Al,Al0.99,6667,job8,False
Zr-Al,Al0.99,6667,job9,False
Zr-Al,Al0.99,6667,job2,False
Zr-Al,Al0.99,6667,job3,False
Zr-Al,Al0.99,6667,job4,False
Zr-Al,Al0.99,6667,job5,False
Zr-Al,Al0.99,6667,job6,False
Zr-Al,Al0.99,6667,job1,False
Zr-Al,Al0.99,6667,job10,False
Zr-Al,Al0.99,2000,job8,False
Zr-Al,Al0.99,2000,job9,False
Zr-Al,Al0.99,2000,job7,False
Zr-Al,Al0.99,2000,job2,False
Zr-Al,Al0.99,2000,job3,False
Zr-Al,Al0.99,2000,job4,False
Zr-Al,Al0.99,2000,job5,False
Zr-Al,Al0.99,2000,job6,False
Zr-Al,Al0.99,2000,job10,False
Zr-Al,Al0.99,2000,job1,False
Zr-Al,Al0.99,10000,job1,False
Zr-Al,Al0.99,10000,job2,False
Zr-Al,Al0.99,10000,job3,False
Zr-Al,Al0.99,10000,job6,False
Zr-Al,Al0.99,10000,job8,False
Zr-Al,Al0.99,10000,job7,False
Zr-Al,Al0.99,10000,job5,False
Zr-Al,Al0.99,10000,job9,False
